             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          15711939    jag-hi interact siddhart  R    2:27:14      1 jagupard32
          15714058 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712104 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712094 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712089 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15691772 jag-stand train_iq siddhart PD       0:00      1 (user env retrieval failed requeued held)
          15714059      john collecti siddhart PD       0:00      1 (Dependency)
          15714057      john material siddhart PD       0:00      1 (Dependency)
          15712105      john collecti siddhart PD       0:00      1 (Dependency)
          15712103      john material siddhart PD       0:00      1 (Dependency)
          15712095      john collecti siddhart PD       0:00      1 (Dependency)
          15712093      john material siddhart PD       0:00      1 (Dependency)
          15712090      john collecti siddhart PD       0:00      1 (Dependency)
          15712088      john material siddhart PD       0:00      1 (Dependency)
15712092_[0-599%64      john collect_ siddhart PD       0:00      1 (Priority)
15712102_[0-599%64      john collect_ siddhart PD       0:00      1 (Priority)
15712087_[3-599%64      john collect_ siddhart PD       0:00      1 (Resources)
        15712087_2      john collect_ siddhart  R      11:51      1 john11
15714056_[301-999% sc-loprio collect_ siddhart PD       0:00      1 (Priority)
      15714056_128 sc-loprio collect_ siddhart  R       0:25      1 pasteur5
      15714056_129 sc-loprio collect_ siddhart  R       0:25      1 pasteur5
      15714056_130 sc-loprio collect_ siddhart  R       0:25      1 pasteur5
      15714056_131 sc-loprio collect_ siddhart  R       0:25      1 sphinx5
      15714056_132 sc-loprio collect_ siddhart  R       0:25      1 sphinx5
      15714056_133 sc-loprio collect_ siddhart  R       0:25      1 sphinx3
      15714056_134 sc-loprio collect_ siddhart  R       0:25      1 sphinx3
      15714056_135 sc-loprio collect_ siddhart  R       0:25      1 sphinx3
      15714056_136 sc-loprio collect_ siddhart  R       0:25      1 sphinx3
      15714056_137 sc-loprio collect_ siddhart  R       0:25      1 sphinx4
      15714056_138 sc-loprio collect_ siddhart  R       0:25      1 sphinx4
      15714056_139 sc-loprio collect_ siddhart  R       0:25      1 sphinx4
      15714056_140 sc-loprio collect_ siddhart  R       0:25      1 sphinx4
      15714056_141 sc-loprio collect_ siddhart  R       0:25      1 sphinx1
      15714056_142 sc-loprio collect_ siddhart  R       0:25      1 sphinx1
      15714056_143 sc-loprio collect_ siddhart  R       0:25      1 sphinx1
      15714056_144 sc-loprio collect_ siddhart  R       0:25      1 sphinx1
      15714056_145 sc-loprio collect_ siddhart  R       0:25      1 sphinx2
      15714056_146 sc-loprio collect_ siddhart  R       0:25      1 sphinx2
      15714056_147 sc-loprio collect_ siddhart  R       0:25      1 sphinx2
      15714056_148 sc-loprio collect_ siddhart  R       0:25      1 sphinx2
      15714056_149 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_150 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_151 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_152 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_153 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_154 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_155 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_156 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_157 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_158 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_159 sc-loprio collect_ siddhart  R       0:25      1 sphinx10
      15714056_160 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_161 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_162 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_163 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_164 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_165 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_166 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_167 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_168 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_169 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_170 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_171 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_172 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_173 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_174 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_175 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_176 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_177 sc-loprio collect_ siddhart  R       0:25      1 sphinx11
      15714056_178 sc-loprio collect_ siddhart  R       0:25      1 sphinx6
      15714056_179 sc-loprio collect_ siddhart  R       0:25      1 sphinx6
      15714056_180 sc-loprio collect_ siddhart  R       0:25      1 sphinx7
      15714056_181 sc-loprio collect_ siddhart  R       0:25      1 sphinx7
      15714056_182 sc-loprio collect_ siddhart  R       0:25      1 sphinx7
      15714056_183 sc-loprio collect_ siddhart  R       0:25      1 sphinx8
      15714056_184 sc-loprio collect_ siddhart  R       0:25      1 sphinx8
