             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          15711939    jag-hi interact siddhart  R    2:53:54      1 jagupard32
          15714482 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712104 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712094 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15712089 jag-stand train_iq siddhart PD       0:00      1 (Dependency)
          15691772 jag-stand train_iq siddhart PD       0:00      1 (user env retrieval failed requeued held)
15712092_[0-599%64      john collect_ siddhart PD       0:00      1 (Priority)
15712102_[0-599%64      john collect_ siddhart PD       0:00      1 (Priority)
15712087_[71-599%6      john collect_ siddhart PD       0:00      1 (Resources)
          15714483      john collecti siddhart PD       0:00      1 (Dependency)
          15714481      john material siddhart PD       0:00      1 (Dependency)
          15712105      john collecti siddhart PD       0:00      1 (Dependency)
          15712103      john material siddhart PD       0:00      1 (Dependency)
          15712095      john collecti siddhart PD       0:00      1 (Dependency)
          15712093      john material siddhart PD       0:00      1 (Dependency)
          15712090      john collecti siddhart PD       0:00      1 (Dependency)
          15712088      john material siddhart PD       0:00      1 (Dependency)
       15712087_70      john collect_ siddhart  R       0:04      1 john11
15714480_[536-999% sc-loprio collect_ siddhart PD       0:00      1 (Priority)
      15714480_260 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_261 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_262 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_263 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_264 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_265 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_266 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_267 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_268 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_269 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_270 sc-loprio collect_ siddhart  R       6:38      1 sphinx10
      15714480_104 sc-loprio collect_ siddhart  R      11:45      1 sphinx4
      15714480_404 sc-loprio collect_ siddhart  R       1:33      1 viscam8
      15714480_405 sc-loprio collect_ siddhart  R       1:33      1 viscam6
      15714480_406 sc-loprio collect_ siddhart  R       1:33      1 viscam6
      15714480_407 sc-loprio collect_ siddhart  R       1:33      1 viscam6
      15714480_408 sc-loprio collect_ siddhart  R       1:33      1 viscam7
      15714480_409 sc-loprio collect_ siddhart  R       1:33      1 viscam7
      15714480_410 sc-loprio collect_ siddhart  R       1:33      1 viscam7
      15714480_411 sc-loprio collect_ siddhart  R       1:33      1 viscam4
      15714480_412 sc-loprio collect_ siddhart  R       1:33      1 viscam4
      15714480_413 sc-loprio collect_ siddhart  R       1:33      1 viscam3
      15714480_414 sc-loprio collect_ siddhart  R       1:33      1 viscam3
      15714480_415 sc-loprio collect_ siddhart  R       1:33      1 viscam5
      15714480_416 sc-loprio collect_ siddhart  R       1:33      1 viscam11
      15714480_417 sc-loprio collect_ siddhart  R       1:33      1 viscam14
      15714480_418 sc-loprio collect_ siddhart  R       1:33      1 viscam14
      15714480_419 sc-loprio collect_ siddhart  R       1:33      1 viscam14
      15714480_420 sc-loprio collect_ siddhart  R       1:33      1 viscam14
      15714480_421 sc-loprio collect_ siddhart  R       1:33      1 viscam14
      15714480_422 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_423 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_424 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_425 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_426 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_427 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_428 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_429 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_430 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_431 sc-loprio collect_ siddhart  R       1:33      1 viscam15
      15714480_432 sc-loprio collect_ siddhart  R       1:33      1 viscam12
      15714480_433 sc-loprio collect_ siddhart  R       1:33      1 viscam12
      15714480_434 sc-loprio collect_ siddhart  R       1:33      1 viscam13
      15714480_435 sc-loprio collect_ siddhart  R       1:33      1 viscam13
      15714480_436 sc-loprio collect_ siddhart  R       1:33      1 viscam13
      15714480_437 sc-loprio collect_ siddhart  R       1:33      1 viscam13
      15714480_438 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_439 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_440 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_441 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_442 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_443 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_444 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_445 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_446 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_447 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_448 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_449 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_450 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_451 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_452 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_453 sc-loprio collect_ siddhart  R       1:33      1 miso2
      15714480_454 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_455 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_456 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_457 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_458 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_459 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_460 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_461 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_462 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_463 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_464 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_465 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_466 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_467 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_468 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_469 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_470 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_471 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_472 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_473 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_474 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_475 sc-loprio collect_ siddhart  R       1:33      1 miso1
      15714480_476 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_477 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_478 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_479 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_480 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_481 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_482 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_483 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_484 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_485 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_486 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_487 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_488 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_489 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_490 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_491 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_492 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_493 sc-loprio collect_ siddhart  R       1:33      1 miso3
      15714480_494 sc-loprio collect_ siddhart  R       1:33      1 miso4
      15714480_495 sc-loprio collect_ siddhart  R       1:33      1 miso4
